                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 2.0901,                  1.979,                 1.4961,                0.62589,                0.29032,                0.32846,                0.11334,                 2.2222,                 2.6958,                 1.5989,               0.007558,               0.007558,               0.007558
                     77,                 2.0502,                 1.8875,                 1.4643,                0.56193,                0.33105,                0.35204,                0.13844,                 2.1195,                 2.5261,                 1.5294,               0.007525,               0.007525,               0.007525
                     78,                  2.001,                 1.9379,                 1.4571,                0.51739,                0.34194,                0.31839,                0.11965,                 2.1871,                 2.4483,                 1.5661,               0.007492,               0.007492,               0.007492
                     79,                  2.095,                 1.9399,                 1.4755,                0.59279,                0.37419,                0.39672,                0.13714,                 2.2331,                 2.3999,                 1.5386,               0.007459,               0.007459,               0.007459
                     80,                 2.0675,                 1.9319,                 1.4609,                0.41073,                0.37419,                0.33695,                0.11783,                  2.137,                 2.3841,                 1.5473,               0.007426,               0.007426,               0.007426
                     81,                 2.0669,                 1.9284,                 1.4986,                0.61283,                0.29677,                0.35128,                0.12687,                 2.1625,                 2.4281,                 1.5681,               0.007393,               0.007393,               0.007393
                     82,                 1.9985,                 1.7935,                 1.4512,                0.56055,                0.39355,                0.36231,                0.12969,                 2.1807,                 2.4728,                 1.5562,                0.00736,                0.00736,                0.00736
                     83,                 2.0116,                 1.9799,                 1.4565,                0.53822,                 0.3384,                0.33848,                0.12964,                 2.1104,                 2.2923,                 1.5227,               0.007327,               0.007327,               0.007327
                     84,                 1.9624,                 1.9051,                 1.4348,                0.55075,                0.35484,                0.34955,                0.13665,                 2.0887,                 2.2594,                 1.5046,               0.007294,               0.007294,               0.007294
                     85,                 1.9538,                 1.8338,                 1.4067,                0.44197,                0.36281,                0.34159,                0.13738,                 2.2028,                 2.4876,                 1.5488,               0.007261,               0.007261,               0.007261
